Filter,RegexMode,Product,Version,Type,Architecture,TargetProductId,TargetClassifications
64-Bit,,Office,,,x64,477b856e-65c4-4473-b621-a8b230bb70d9,
32-Bit,,Office,,,x86,477b856e-65c4-4473-b621-a8b230bb70d9,
