Filter,RegexMode,Product,Version,Type,Architecture,TargetProductId,TargetClassifications
.+(version 17.8.)(?<Version>.+) update,Decline Old Version,Visual Studio,17.8,,,12c24e87-bd40-451b-9477-2c2bf501e0d7,
.+(version 17.6.)(?<Version>.+) update,Decline Old Version,Visual Studio,17.6,,,12c24e87-bd40-451b-9477-2c2bf501e0d7,
.+(version 17.4.)(?<Version>.+) update,Decline Old Version,Visual Studio,17.4,,,12c24e87-bd40-451b-9477-2c2bf501e0d7,
.+(version 17.2.)(?<Version>.+) update,Decline Old Version,Visual Studio,17.2,,,12c24e87-bd40-451b-9477-2c2bf501e0d7,
.+(version )(?<Version>.+) update,Decline Old Version,Visual Studio,17,,,12c24e87-bd40-451b-9477-2c2bf501e0d7,
.+(version )(?<Version>.+) update,Decline Old Version,Visual Studio,16.11,,,5f4177e2-ad09-4066-9050-b7466ad5b078,
.+(version )(?<Version>.+) update,Decline Old Version,Visual Studio,15.9,,,682005f1-54fd-440f-b3b3-b9c652351d01,
